bill,date,code,sp,quantity,price,revenue,discount,%
150026,17/01/2021,SG 477,Thử thách IQ Link,1,"249,000","249,000",0,0
150028,17/01/2021,SG 477,Thử thách IQ Link,1,"249,000","249,000",0,0
,,SG 466,Thử thách IQ Blox,1,"249,000","249,000",0,0
150029,17/01/2021,SG 488,Thử thách IQ Twist,1,"249,000","249,000",0,0
150032,17/01/2021,SG 477,Thử thách IQ Link,1,"249,000","249,000",0,0
150033,17/01/2021,SG 424,Thử thách IQ Arrows,1,"249,000","249,000",0,0
150035,17/01/2021,SG 444,Thử thách IQ XOXO,1,"249,000","249,000",0,0
150037,17/01/2021,SG 477,Thử thách IQ Link,1,"249,000","249,000",0,0
150038,17/01/2021,SG 424,Thử thách IQ Arrows,1,"249,000","249,000",0,0
150039,17/01/2021,SG 023 ,Ba chú heo con,1,"690,000","690,000",0,0
,,SGT 240-8,Tàu Noah,1,"249,000",,"249,000",1
150041,17/01/2021,SG 477,Thử thách IQ Link,1,"249,000","249,000",0,0
150042,17/01/2021,SG 444,Thử thách IQ XOXO,1,"249,000","149,000","100,000",0.4
150043,17/01/2021,SG 444,Thử thách IQ XOXO,2,"249,000","498,000",0,0
150044,17/01/2021,SG 488,Thử thách IQ Twist,1,"249,000","149,000","100,000",0.4
150045,17/01/2021,SG 424,Thử thách IQ Arrows,1,"249,000","249,000",0,0
150046,17/01/2021,SG 423,Thử thách IQ hạt tròn,1,"249,000","149,000","100,000",0.4
150047,17/01/2021,SG 466,Thử thách IQ Blox,1,"249,000","249,000",0,0
,,SG 455,Thử thách IQ Pro,1,"249,000","249,000",0,0
150048,17/01/2021,SG 424,Thử thách IQ Arrows,1,"249,000","149,000","100,000",0.4
160014,17/01/2021,SG 455,Thử thách IQ Pro,2,"249,000","498,000",0,0
170018,17/01/2021,SG 421,Nhảy qua nào,1,"399,000","279,000","120,000",0.3
170026,17/01/2021,SG 423,Thử thách IQ hạt tròn,1,"249,000","249,000",0,0
170053,17/01/2021,SG 477,Thử thách IQ Link,1,"249,000","249,000",0,0
190001,17/01/2021,SG 422,Thử thách IQ Focus,1,"249,000","249,000",0,0
190015,17/01/2021,SG 422,Thử thách IQ Focus,1,"249,000","249,000",0,0
,,SG 421,Nhảy qua nào,1,"399,000","279,000","120,000",0.3
280004,17/01/2021,SG 422,Thử thách IQ Focus,1,"249,000","249,000",0,0
120003,18/01/2021,SG 444,Thử thách IQ XOXO,1,"249,000","249,000",0,0
,,SG 455,Thử thách IQ Pro,1,"249,000","249,000",0,0
120006,18/01/2021,SG 455,Thử thách IQ Pro,1,"249,000","249,000",0,0
