code,name,price,stock,FL Lotte,FL Takashimaya,FL Estella,FL Crescent Mall,Sale Online,FL Event HCM,Kho VP805,Kho GKCPP,Kho FL,Kho ADC,FL Sai Dong,Kho HN_Thanh lý,Kho HCM_Thanh lý
HD-55003,Bakery Shop Blocks 33pcs,"259,000",2,1,,,,,,,,,,,1,
HD-55006,Joyful Farm Blocks 48pcs,"549,000",2,2,,,,,,,,,,,,
HD-55011,Bộ lắp ráp Kỳ nghỉ làng quê (146 miếng),"1,290,000",2,1,,1,,,,,,,,,,
HD-55012,Bộ lắp ráp Lâu đài (101 miếng),"990,000",12,3,,5,,,,,,,,4,,
HD-55013,Bộ lắp ráp Lớp học của bé (77 miếng),"799,000",28,6,,17,,,,,,5,,,,
HD-66001,Dream Ice Cream blocks 30pcs,"189,000",2,,,2,,,,,,,,,,
HD-66002,Candy Cake Blocks 65pcs,"439,000",1,,,,,,,,,1,,,,
HD-66003,Brilliant Turn of Music Blocks 49pcs,"599,000",1,,,,,,,1,,,,,,
HD-66004,My ice cream shop colorful gift,"900,000",2,,,,,,1,,,1,,,,
HD-77002B,Pier Work Team Blocks 19pcs,"229,000",21,,,,,,,,18,3,,,,
HD-77002C,Joyful Service Area Blocks 20pcs,"229,000",19,,,4,,,,,11,3,,,1,
HD-77006,Interesting Airport Blocks 88pcs,"999,000",3,3,,,,,,,,,,,,
HD-88004,My racing car waving slide,"1,900,000",1,,,,,,,,,1,,,,
HD-99001,Ocean view villa,"719,000",1,,,,,,,,,1,,,,
HD-99002,Adventure track castle,"900,000",1,,,,,,,,,1,,,,
HD-99003,Jungle explorative slide,"1,149,000",1,,,,,,,,,1,,,,
G3001L,Bộ trống điện tử Model G3001L,"1,490,000",1,,,,,,,,,,,1,,
G3002-GRE,7 Pads Hand Roll Drum (Without Speaker) (Green),"1,190,000",4,,,,,,,,,3,,,,1
G3002-WHI,7 Pads Hand Roll Drum (Without Speaker) (White),"1,190,000",5,,,,,,,,,5,,,,
G3009L,Bộ trống điện tử Model  G3009L,"2,149,000",1,,,,,,,,,,,1,,
N2049,49 Keys Bluetooth Roll Up Piano,"1,490,000",4,,,4,,,,,,,,,,
S2018-RED,61 Keys Roll Up Piano With Midi Port (Red),"1,749,000",9,,,6,,,,,,,,2,,1
S2037,37 Keys Roll Up Piano For Kids,"759,000",6,,,,,,,,,,,6,,
S2037C,Đàn cuộn điện tử 37 phím thu âm Model S3037 ,"759,000",2,,,1,,,,,,,,1,,
S3037,Đàn cuộn điện tử 37 phím thu âm Model S3037 ,"990,000",2,,,,,,,,,,,1,1,
S3037C,Đàn cuộn điện tử cầu vồng 37 phím thu âm Model S3037C,"990,000",1,,,,,,,,,,,,1,
S3061,Đàn cuộn điện tử 61 phím Model S3061,"1,749,000",2,,,1,,,,,,,,,1,
RB-8839,Móc khóa Rubik's 3x3,"249,000",35,2,,23,10,,,,,,,,,
RB-8840,Rubik's 3x3,"349,000",325,30,,27,12,2,,,195,,,59,,
RB-8841,Rubik's 4x4,"649,000",7,,,,6,,,1,,,,,,
RB-8843,Rubik's 5x5,"749,000",2,,,,2,,,,,,,,,
101119_BLA,Fashion colour Bracelet Kit- 13 pcs,"89,000",899,,,82,,,,4,108,346,,359,,
101119_BLU,Rainbow color Bracelet Kit- 13 pcs,"89,000",616,,,48,,,,15,,235,,318,,
101119_PIN,Pastel colour Bracelet Kit- 13 pcs,"89,000",193,,,,,,,11,,23,,159,,
101120_BLA,Fashion colour Necklace Kit- 25 pcs,"149,000","1,152",,5,17,6,,70,,400,386,,268,,
101120_BLU,Rainbow colour Necklace Kit- 25 pcs,"149,000","1,108",,,14,3,,,,364,488,,239,,
101120_PIN,Pastel colour Necklace Kit- 25 pcs,"149,000",688,,,14,2,,,,124,364,,184,,
101121,Maker Kit- 50 pcs,"349,000",658,,,19,,,,1,79,351,,208,,
101122,Maker Kit- 100 pcs,"599,000",98,,,2,,,,,,31,,65,,
MAG-701003,Bộ cơ bản 14 mảnh,"690,000",218,4,8,23,7,,3,,165,,,8,,
MAG-701004,Magformers 26 Set,"1,190,000",2,1,,,1,,,,,,,,,
MAG-701005,Bộ cơ bản 30 mảnh,"1,290,000",227,6,10,11,3,,5,,184,,,8,,
MAG-701007,Bộ cơ bản 62 mảnh,"1,990,000",110,6,6,16,6,1,4,,67,,,4,,
MAG-701009,Pentagon 12 Set,"690,000",1,1,,,,,,,,,,,,
MAG-701013,Bộ cơ bản 40 mảnh,"1,590,000",11,,3,3,5,,,,,,,,,
MAG-701014,Bộ cơ bản 90 mảnh,"3,490,000",34,6,5,6,4,,4,1,4,,,4,,
MAG-701015,Bộ cơ bản 42 mảnh,"1,690,000",120,,,,,,,,120,,,,,
MAG-703002,Bộ Thiết Kế Sáng Tạo 62 Mảnh,"1,990,000",59,,,,,,,,59,,,,,
MAG-703015,Bộ thám hiểm bầu trời 28 mảnh,"990,000",1,,,1,,,,,,,,,,
MAG-703016,Bộ Công Viên Trò Chơi Mạo Hiểm Mở Rộng 48 Mảnh,"1,990,000",18,1,3,10,2,,,2,,,,,,
MAG-703019,Bộ Vòng Quay Bí Ẩn 40 Mảnh,"1,990,000",55,6,3,4,3,,4,,35,,,,,
MAG-705003,Build Up Set 50P,"1,490,000",1,,,1,,,,,,,,,,
MAG-705009,Bộ Ngôi nhà của Maggy 33 mảnh,"990,000",1,,1,,,,,,,,,,,
MAG-705011,Bộ Lâu đài của Milo 33 mảnh,"990,000",1,,,1,,,,,,,,,,
MAG-705016,Bộ cắm trại thám hiểm 40 mảnh,"990,000",2,,,2,,,,,,,,,,
MAG-706005,Bộ Neon 14 mảnh,"790,000",9,,3,6,,,,,,,,,,
MAG-706006,Bộ Neon 30 mảnh,"1,490,000",12,,3,9,,,,,,,,,,
MAG-707020,Bộ Siêu Xe Biến Hình Mở Rộng 18 Mảnh,"1,190,000",1,,,1,,,,,,,,,,
MAG-707021,Bộ Xe Đua Biến Hình 42 Mảnh,"1,990,000",49,2,3,6,4,,4,,28,,,2,,
MAG-707022,Bộ Xe Đua Kart Rally (Kèm Nhân Vật) Magformers,"590,000",70,11,9,14,3,,5,,28,,,,,
MAG-707023,Bộ Xe Thám Hiểm Jungle Rally (Kèm Nhân Vật) Magformers,"590,000",84,10,11,11,4,,6,,42,,,,,
MAG-707024,Bộ Bánh Xe Khổng Lồ 20 Mảnh,"1,190,000",92,4,11,10,4,,6,,48,,,9,,
MAG-710016,Bộ Kỳ Quan Sáng Tạo 121 Mảnh,"3,490,000",17,2,1,2,2,,1,,5,,,4,,
MAG-710019,Bộ Siêu Xếp Hình Nam Châm Magformers 162 Mảnh,"3,990,000",27,4,4,4,3,,1,,11,,,,,
MAG-715004,Figure Plus Boy Set 6P,"390,000",3,,1,,,,,2,,,,,,
MAG-715005,Figure Plus Girl Set 6P,"390,000",2,,,,,,,2,,,,,,
MAG-715006,Figure Plus Princess Set 6P,"390,000",1,,,,,,,1,,,,,,
MAG-715007,Figure Plus Alien Set 6P,"390,000",1,,,,,,,1,,,,,,
MAG-715008,Figure Plus Construction Set 6P,"390,000",3,,,,,,,3,,,,,,
MAG-715013,Bộ mở rộng 14 mảnh,"690,000",162,17,8,8,2,,5,,111,,,11,,
MAG-715015,Bộ mở rộng 30 mảnh,"1,290,000",144,1,9,13,4,,6,,101,,,10,,
